date,province,region,metric,value
1/1/2019,Loei ,east_northeast,revenue_foreign,10110000
1/1/2019,Roi Et ,east_northeast,revenue_foreign,1780000
1/1/2019,Mukdahan ,east_northeast,revenue_foreign,32470000
1/1/2019,Maha Sarakham ,east_northeast,revenue_foreign,2390000
1/1/2019,Ubon Ratchathani ,east_northeast,revenue_foreign,88070000
1/1/2019,Surat Thani ,south,revenue_foreign,8509430000
1/1/2019,Trat ,east,no_tourist_foreign,81544
1/1/2019,Chonburi ,east,no_tourist_foreign,937411
1/1/2019,Phatthalung ,south,no_tourist_thai,119521
1/1/2019,Trang ,south,no_tourist_thai,149399
1/1/2019,Ranong ,south,no_tourist_thai,103790
1/1/2019,Chumphon ,south,no_tourist_thai,105960
1/1/2019,Pattani ,south,no_tourist_thai,22345
1/1/2019,Yala ,south,no_tourist_thai,9567
1/1/2019,Nakhon Si Thammarat ,south,no_tourist_thai,373158
1/1/2019,Narathiwat ,south,no_tourist_thai,24265
1/1/2019,Krabi ,south,no_tourist_thai,185557
1/1/2019,Phuket ,south,no_tourist_thai,357769
1/1/2019,Songkhla ,south,no_tourist_thai,532223
1/1/2019,Surat Thani ,south,no_tourist_thai,183500
1/1/2019,Satun ,south,no_tourist_thai,190827
1/1/2019,Kamphaeng Phet ,north,no_tourist_thai,72183
1/1/2019,Chiang Rai ,north,no_tourist_thai,386065
1/1/2019,Chiang Mai ,north,no_tourist_thai,841830
1/1/2019,Phichit ,north,no_tourist_thai,63777
1/1/2019,Nakhon Sawan ,north,no_tourist_thai,183487
1/1/2019,Tak ,north,no_tourist_thai,236008
1/1/2019,Phitsanulok ,north,no_tourist_thai,364864
1/1/2019,Phang Nga ,south,no_tourist_thai,151483
1/1/2019,Phayao ,north,no_tourist_thai,77299
1/1/2019,Sa Kaeo ,east,no_tourist_thai,165131
1/1/2019,Prachinburi ,east,no_tourist_thai,170721
1/1/2019,Saraburi ,central,no_tourist_thai,201400
1/1/2019,Chainat ,central,no_tourist_thai,78514
1/1/2019,Nakhon Pathom ,central,no_tourist_thai,284408
1/1/2019,Sing Buri ,central,no_tourist_thai,49190
1/1/2019,Ang Thong ,central,no_tourist_thai,98816
1/1/2019,Nonthaburi ,central,no_tourist_thai,293344
1/1/2019,Pathum Thani ,central,no_tourist_thai,172417
1/1/2019,Samut Prakan ,central,no_tourist_thai,199324
1/1/2019,Samut Sakhon ,central,no_tourist_thai,108832
1/1/2019,Rayong ,east,no_tourist_thai,581623
1/1/2019,Chachoengsao ,east,no_tourist_thai,266707
